Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
ED-T-04-AWS-HZN005_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN005/CurrentMetrics/ED-T-04-AWS-HZN005_Lum//Value,,ED-T-04-AWS-HZN005,,
ED-T-04-AWS-HZN005_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN005/CurrentMetrics/ED-T-04-AWS-HZN005_Tmp//Value,,ED-T-04-AWS-HZN005,,
ED-T-04-AWS-HZN005_So,Average Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN005/CurrentMetrics/ED-T-04-AWS-HZN005_So//Value,,ED-T-04-AWS-HZN005,,
ED-T-04-AWS-HZN005_Rh,Average Humidity,brick:Humidity_Sensor,unit:PERCENT,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN005/CurrentMetrics/ED-T-04-AWS-HZN005_Rh//Value,,ED-T-04-AWS-HZN005,,
ED-T-04-AWS-HZN005_Co2,Average CO2,brick:CO2_Level_Sensor,unit:PPM,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN005/CurrentMetrics/ED-T-04-AWS-HZN005_Co2//Value,,ED-T-04-AWS-HZN005,,
ED-T-04-AWS-HZN005_Voc,Average Total Volatile Organic Compounds,brick:Voc_Level_Sensor,unit:PPB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN005/CurrentMetrics/ED-T-04-AWS-HZN005_Voc//Value,,ED-T-04-AWS-HZN005,,
ED-T-04-AWS-HZN006,ED-T-04-AWS-HZN006,ext:Average_Indoor_Environment_Quality_Sensor,,,ED-T-04-AWSGW-001,,Room_04.04,
ED-T-04-AWS-HZN006_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_RoomOccupancy//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN006_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_Lum//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN006_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_Tmp//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN006_So,Average Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_So//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN006_Rh,Average Humidity,brick:Humidity_Sensor,unit:PERCENT,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_Rh//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN006_Co2,Average CO2,brick:CO2_Level_Sensor,unit:PPM,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_Co2//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN006_Voc,Average Total Volatile Organic Compounds,brick:Voc_Level_Sensor,unit:PPB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN006/CurrentMetrics/ED-T-04-AWS-HZN006_Voc//Value,,ED-T-04-AWS-HZN006,,
ED-T-04-AWS-HZN007,ED-T-04-AWS-HZN007,ext:Average_Indoor_Environment_Quality_Sensor,,,ED-T-04-AWSGW-001,,Room_04.11,
ED-T-04-AWS-HZN007_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_RoomOccupancy//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN007_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_Lum//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN007_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_Tmp//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN007_So,Average Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_So//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN007_Rh,Average Humidity,brick:Humidity_Sensor,unit:PERCENT,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_Rh//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN007_Co2,Average CO2,brick:CO2_Level_Sensor,unit:PPM,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_Co2//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN007_Voc,Average Total Volatile Organic Compounds,brick:Voc_Level_Sensor,unit:PPB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN007/CurrentMetrics/ED-T-04-AWS-HZN007_Voc//Value,,ED-T-04-AWS-HZN007,,
ED-T-04-AWS-HZN008,ED-T-04-AWS-HZN008,ext:Average_Indoor_Environment_Quality_Sensor,,,ED-T-04-AWSGW-001,,Room_04.13,
ED-T-04-AWS-HZN008_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_RoomOccupancy//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN008_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_Lum//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN008_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_Tmp//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN008_So,Average Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_So//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN008_Rh,Average Humidity,brick:Humidity_Sensor,unit:PERCENT,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_Rh//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN008_Co2,Average CO2,brick:CO2_Level_Sensor,unit:PPM,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_Co2//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN008_Voc,Average Total Volatile Organic Compounds,brick:Voc_Level_Sensor,unit:PPB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN008/CurrentMetrics/ED-T-04-AWS-HZN008_Voc//Value,,ED-T-04-AWS-HZN008,,
ED-T-04-AWS-HZN009,ED-T-04-AWS-HZN009,ext:Average_Indoor_Environment_Quality_Sensor,,,ED-T-04-AWSGW-001,,Room_04.08,
ED-T-04-AWS-HZN009_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN009/CurrentMetrics/ED-T-04-AWS-HZN009_RoomOccupancy//Value,,ED-T-04-AWS-HZN009,,
ED-T-04-AWS-HZN009_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN009/CurrentMetrics/ED-T-04-AWS-HZN009_Lum//Value,,ED-T-04-AWS-HZN009,,
ED-T-04-AWS-HZN009_Tmp,Average Ambient Temperature,brick:Average_Zone_Air_Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN009/CurrentMetrics/ED-T-04-AWS-HZN009_Tmp//Value,,ED-T-04-AWS-HZN009,,
ED-T-04-AWS-HZN009_So,Average Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN009/CurrentMetrics/ED-T-04-AWS-HZN009_So//Value,,ED-T-04-AWS-HZN009,,
